City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Ihosy,MG,75.72,few clouds,-22.4,46.1167,Hotely Sariaka
14,Hithadhoo,MV,82.08,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
20,Cap Malheureux,MU,83.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
21,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
44,Faanui,PF,81.14,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
50,Cabinda,AO,77.4,overcast clouds,-5.55,12.2,Hotel Maiombe
52,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Farafangana,MG,81.12,clear sky,-22.8167,47.8333,Miarina
63,Cockburn Town,TC,79.84,clear sky,21.4612,-71.1419,Osprey Beach Hotel
65,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
71,Saint-Philippe,RE,84.22,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Barabai,ID,85.98,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
97,Lorengau,PG,80.98,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
103,Esperance,AU,85.84,clear sky,-33.8667,121.9,Hospitality Esperance
107,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
111,Mananjary,MG,79.56,overcast clouds,-21.2167,48.3333,Vahiny Lodge
112,Rikitea,PF,76.06,broken clouds,-23.1203,-134.9692,People ThankYou
119,Victoria,HK,75.96,clear sky,22.2855,114.1577,Mini Hotel Central
126,Atuona,PF,78.39,clear sky,-9.8,-139.0333,Villa Enata
127,Anloga,GH,79.02,few clouds,5.7947,0.8973,Pin Drop Hotel
134,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
136,Harper,LR,78.78,clear sky,4.375,-7.7169,Screensaver
138,Poum,NC,82.45,few clouds,-20.2333,164.0167,Gîte kajeon
