,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,29.79,86,90,3.44,light snow
1,Albany,US,42.6001,-73.9662,31.08,89,100,1.92,light snow
2,Port Hedland,AU,-20.3167,118.5667,95.05,55,4,12.66,clear sky
3,Castro,BR,-24.7911,-50.0119,48.97,99,12,4.79,few clouds
4,Auray,FR,47.6703,-2.9918,47.75,83,82,9.91,broken clouds
5,Ushuaia,AR,-54.8,-68.3,55.06,47,20,3.44,few clouds
6,Hobart,AU,-42.8794,147.3294,66.27,55,75,1.99,broken clouds
7,Hermanus,ZA,-34.4187,19.2345,65.8,90,100,12.21,light rain
8,Inuvik,CA,68.3499,-133.7218,11.41,88,20,4.61,few clouds
9,Ihosy,MG,-22.4,46.1167,75.72,56,21,7.36,few clouds
10,Bereda,ES,43.2686,-7.5406,51.42,100,100,8.55,light rain
11,Punta Arenas,CL,-53.15,-70.9167,53.71,50,0,3.44,clear sky
12,Juegang,CN,32.3174,121.1855,60.91,63,99,8.08,overcast clouds
13,Upata,VE,8.0086,-62.3989,73.18,97,73,2.89,broken clouds
14,Hithadhoo,MV,-0.6,73.0833,82.08,75,97,10.02,overcast clouds
15,Barrow,US,71.2906,-156.7887,6.82,78,90,20.71,overcast clouds
16,Dahuk,IQ,36.8695,42.994,49.68,73,90,7.63,overcast clouds
17,Aykhal,RU,66.0,111.5,-17.3,96,99,14.12,overcast clouds
18,Cayenne,GF,4.9333,-52.3333,77.09,90,98,1.99,overcast clouds
19,Yinchuan,CN,38.4681,106.2731,39.87,29,19,2.17,few clouds
20,Cap Malheureux,MU,-19.9842,57.6142,83.46,61,15,7.0,few clouds
21,Hilo,US,19.7297,-155.09,76.28,38,90,5.75,light rain
22,Goundam,ML,16.4145,-3.6708,68.5,16,32,9.82,scattered clouds
23,Tilichiki,RU,60.4667,166.1,-16.31,95,60,8.37,broken clouds
24,Bluff,NZ,-46.6,168.3333,54.81,70,97,13.98,overcast clouds
25,Melfi,IT,40.9965,15.6514,48.49,91,99,11.88,moderate rain
26,Batemans Bay,AU,-35.7167,150.1833,73.98,74,75,9.8,broken clouds
27,Kirkuk,IQ,35.4681,44.3922,55.42,61,68,2.35,broken clouds
28,Abapo,BO,-18.8333,-63.4667,72.09,65,100,3.09,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,62.04,66,88,8.97,overcast clouds
30,Sistranda,NO,63.7256,8.834,33.91,60,100,9.15,overcast clouds
31,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,88,75,4.21,broken clouds
32,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,85,87,17.22,overcast clouds
33,Tanabe,JP,33.7333,135.3667,60.01,47,20,4.61,few clouds
34,Kaitangata,NZ,-46.2817,169.8464,53.26,90,100,5.44,overcast clouds
35,Bredasdorp,ZA,-34.5322,20.0403,65.28,91,100,8.99,light rain
36,Birjand,IR,32.8663,59.2211,36.07,35,0,4.61,clear sky
37,Aksu,CN,41.1231,80.2644,35.55,32,8,2.51,clear sky
38,Mar Del Plata,AR,-38.0023,-57.5575,68.09,94,0,4.0,clear sky
39,Burnie,AU,-41.0667,145.9167,64.92,57,1,12.93,clear sky
40,Nikolskoye,RU,59.7035,30.7861,13.89,100,93,2.26,overcast clouds
41,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,92,90,12.66,light snow
42,Mataura,NZ,-46.1927,168.8643,54.48,86,100,5.1,overcast clouds
43,Port Alfred,ZA,-33.5906,26.891,71.4,88,67,4.07,broken clouds
44,Faanui,PF,-16.4833,-151.75,81.14,73,91,10.8,light rain
45,Vaini,TO,-21.2,-175.2,82.56,78,40,11.5,scattered clouds
46,Half Moon Bay,US,37.4636,-122.4286,55.26,92,90,6.91,overcast clouds
47,Ha Tinh,VN,18.3333,105.9,67.95,86,99,12.68,overcast clouds
48,Ligayan,PH,4.6533,119.4706,81.99,78,97,13.73,overcast clouds
49,Chulman,RU,56.8479,124.9104,14.18,85,100,12.19,overcast clouds
50,Cabinda,AO,-5.55,12.2,77.4,90,91,6.73,overcast clouds
51,Cidreira,BR,-30.1811,-50.2056,67.01,78,36,11.95,scattered clouds
52,Kapaa,US,22.0752,-159.319,78.78,76,90,1.99,overcast clouds
53,Caxias,PT,38.7031,-9.2767,55.47,79,20,1.01,few clouds
54,Pimentel,PE,-6.8367,-79.9342,66.74,84,88,9.66,overcast clouds
55,Hasaki,JP,35.7333,140.8333,55.29,63,96,25.39,overcast clouds
56,Farafangana,MG,-22.8167,47.8333,81.12,64,9,8.16,clear sky
57,Nichinan,JP,31.6,131.3667,61.75,60,38,5.57,scattered clouds
58,Mount Gambier,AU,-37.8333,140.7667,62.51,51,90,18.41,overcast clouds
59,Port Elizabeth,ZA,-33.918,25.5701,66.49,100,90,2.3,fog
60,Vardo,NO,70.3705,31.1107,3.4,71,0,19.51,clear sky
61,Noumea,NC,-22.2763,166.4572,91.38,99,11,9.75,few clouds
62,Cabo San Lucas,MX,22.8909,-109.9124,74.52,65,78,4.81,broken clouds
63,Cockburn Town,TC,21.4612,-71.1419,79.84,69,1,13.56,clear sky
